time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650972732273,MATH 10B,A01,084110,Staff,0,1,30,30
1650972732273,MATH 10B,A02,084111,Staff,0,1,30,30
1650972732273,MATH 10B,A03,084112,Staff,12,0,30,18
1650972738307,MATH 10C,A01,083443,Staff,0,28,30,31
1650972738307,MATH 10C,A02,083444,Staff,0,26,30,30
1650972738307,MATH 10C,B01,084114,Staff,6,0,30,24
1650972738307,MATH 10C,B02,084115,Staff,22,0,30,8
1650972744334,MATH 18,A01,084117,Harel; Guershon,0,0,30,30
1650972744334,MATH 18,A02,084119,Harel; Guershon,26,0,30,4
1650972744334,MATH 18,A03,084120,Harel; Guershon,30,0,30,0
1650972744334,MATH 18,A04,084121,Harel; Guershon,26,0,30,4
1650972750364,MATH 20A,A01,093429,Staff,0,0,0,0
1650972756389,MATH 20B,A01,084124,Um; Ko Woon,0,4,35,35
1650972756389,MATH 20B,B01,084126,Um; Ko Woon,0,1,35,35
1650972762421,MATH 20C,A01,083446,Hammock; Frances H,0,0,30,30
1650972762421,MATH 20C,A02,083447,Hammock; Frances H,0,0,30,30
1650972762421,MATH 20C,A03,083448,Hammock; Frances H,5,0,30,25
1650972762421,MATH 20C,A04,083449,Hammock; Frances H,8,0,30,22
1650972762421,MATH 20C,B01,083451,Hammock; Frances H,0,0,30,30
1650972762421,MATH 20C,B02,083452,Hammock; Frances H,6,0,30,24
1650972762421,MATH 20C,B03,083453,Hammock; Frances H,12,0,30,18
1650972762421,MATH 20C,B04,083454,Hammock; Frances H,20,0,30,10
1650972768457,MATH 20D,A01,084128,Staff,7,0,30,23
1650972768457,MATH 20D,A02,084129,Staff,28,0,30,2
1650972768457,MATH 20D,A03,084130,Staff,25,0,30,5
1650972768457,MATH 20D,B01,084133,Staff,0,0,30,30
1650972768457,MATH 20D,B02,084134,Staff,16,0,30,14
1650972768457,MATH 20D,B03,084135,Staff,28,0,30,2
1650972774486,MATH 20E,A01,084138,Staff,6,0,30,24
1650972774486,MATH 20E,A02,084139,Staff,0,0,30,30
1650972774486,MATH 20E,A03,084140,Staff,10,0,30,20
1650972774486,MATH 20E,A04,084141,Staff,15,0,30,15
1650972780518,MATH 102,A01,084143,Harel; Guershon,2,0,30,28
1650972780518,MATH 102,A02,084144,Harel; Guershon,17,0,30,13
1650972786547,MATH 103B,A01,083456,Staff,0,20,30,30
1650972786547,MATH 103B,A02,083457,Staff,0,20,30,30
1650972792580,MATH 109,A01,084146,Salehi Golsefidy; Alireza,12,0,30,18
1650972792580,MATH 109,A02,084147,Salehi Golsefidy; Alireza,7,0,30,23
1650972798619,MATH 120A,A01,085445,Eggers; John Dietrich,0,0,35,35
1650972798619,MATH 120A,A02,085446,Eggers; John Dietrich,15,0,35,20
1650972804645,MATH 142B,A01,084149,Verstraete; Jacques Allan,0,15,30,30
1650972804645,MATH 142B,A02,084150,Verstraete; Jacques Allan,0,14,30,30
1650972810673,MATH 170A,A01,083459,Nie; Jiawang,0,20,30,30
1650972810673,MATH 170A,A02,083460,Nie; Jiawang,0,18,30,30
1650972810673,MATH 170A,A03,083461,Nie; Jiawang,0,18,30,30
1650972816707,MATH 193B,A01,083463,Staff,0,0,30,30
1650972816707,MATH 193B,A02,083464,Staff,5,0,30,25
1650972816707,MATH 193B,A03,083465,Staff,15,0,30,15
1650972822784,COGS 2,A01,083966,Boyle; Mary E. T.,1,2,31,30
1650972828813,COGS 9,A01,083968,Staff,1,15,60,59
1650972834933,COGS 14B,A01,083970,Staff,6,0,65,59
1650972840964,COGS 17,A01,092679,Staff,17,0,75,58
1650972846996,COGS 100,A01,083972,Staff,0,29,60,60
1650972859052,COGS 101C,A01,083976,Staff,0,1,30,30
1650972865080,COGS 102A,A01,083978,Johnson; Christine M.,0,8,30,30
1650972871107,COGS 107B,A01,083980,Staff,0,19,50,50
1650972877133,COGS 115,A01,083982,Staff,6,0,30,24
1650972883158,COGS 118B,A01,083367,Staff,0,23,40,40
1650972889192,COGS 172,A01,083984,Provenzano; Emily Kara,8,0,30,22
1650972895219,COGS 177,A00,083368,Tung; Janet C,0,27,30,30
1650972901252,COGS 186,A01,083986,Staff,11,0,40,29
1650972907284,COGS 187A,A01,083988,Boyle; Mary E. T.,0,9,60,60
1650972913323,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,27,15,15
1650972919352,CSE 11,A01,084005,Miranda; Gregory Joseph,0,45,55,55
1650972925380,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,9,20,20
1650972931412,CSE 21,A01,084009,Braun; Oliver,0,43,50,50
1650972937447,CSE 30,A01,083370,Cao; Yingjun,0,72,40,40
1650972943477,CSE 100,A01,083372,Cao; Yingjun,0,67,40,40
1650972949509,CSE 101,A01,084011,Braun; Oliver,0,84,40,40
1650972955536,CSE 141,A01,083374,Eldon; John,2,4,150,148
1650972961571,CSE 141L,A01,083376,Eldon; John,0,11,150,150
1650972967601,CSE 175,A01,084013,Kumar; Rakesh,17,0,25,8
1650972973631,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1650972979660,ECE 5,A01,084049,Morris; Karcher William,9,0,20,11
1650972985690,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,1,20,20
1650972985690,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1650972991718,ECE 101,A01,084053,Baghdadchi; Saharnaz,1,0,37,36
1650972991718,ECE 101,A02,084054,Baghdadchi; Saharnaz,14,0,37,23
1650972997747,ECE 107,A01,083390,Staff,22,0,40,18
1650973003777,ECE 148,A01,084056,Silberman; Jack,2,0,12,10
1650973009804,ECE 180,A00,083391,Abi Samra; Nicholas Camill,22,0,30,8
1650973009804,ECE 180,B00,083392,Abi Samra; Nicholas Camill,14,0,30,16
1650973015835,MATH 10A,A01,093431,Staff,0,1,0,0
1650973021870,MATH 10B,A01,084110,Staff,0,1,30,30
1650973021870,MATH 10B,A02,084111,Staff,0,1,30,30
1650973021870,MATH 10B,A03,084112,Staff,12,0,30,18
1650973027902,MATH 10C,A01,083443,Staff,0,28,30,31
